n_labeled,seed,label,f1
50,42,Gefahrenstelle,0.14814814814814814
50,42,Hindernis,0.2222222222222222
50,42,Markierung oder Schild,0.41860465116279066
50,42,Ampel,0.1818181818181818
50,42,Lückenschluss,0.4827586206896552
50,123,Gefahrenstelle,0.31111111111111117
50,123,Hindernis,0.26086956521739135
50,123,Markierung oder Schild,0.4137931034482759
50,123,Ampel,0.08
50,123,Lückenschluss,0.07142857142857144
50,456,Gefahrenstelle,0.0
50,456,Hindernis,0.2
50,456,Markierung oder Schild,0.37333333333333335
50,456,Ampel,0.0
50,456,Lückenschluss,0.2105263157894737
100,42,Gefahrenstelle,0.0
100,42,Hindernis,0.3
100,42,Markierung oder Schild,0.4
100,42,Ampel,0.13333333333333333
100,42,Lückenschluss,0.6451612903225806
100,123,Gefahrenstelle,0.30769230769230765
100,123,Hindernis,0.5
100,123,Markierung oder Schild,0.4090909090909091
100,123,Ampel,0.19354838709677422
100,123,Lückenschluss,0.24
100,456,Gefahrenstelle,0.0
100,456,Hindernis,0.5555555555555556
100,456,Markierung oder Schild,0.30769230769230765
100,456,Ampel,0.35897435897435903
100,456,Lückenschluss,0.4444444444444445
150,42,Gefahrenstelle,0.33333333333333337
150,42,Hindernis,0.33333333333333337
150,42,Markierung oder Schild,0.5106382978723405
150,42,Ampel,0.15384615384615383
150,42,Lückenschluss,0.5714285714285715
150,123,Gefahrenstelle,0.27272727272727276
150,123,Hindernis,0.5499999999999999
150,123,Markierung oder Schild,0.2962962962962963
150,123,Ampel,0.29411764705882354
150,123,Lückenschluss,0.2962962962962963
150,456,Gefahrenstelle,0.2
150,456,Hindernis,0.28571428571428575
150,456,Markierung oder Schild,0.4
150,456,Ampel,0.08333333333333334
150,456,Lückenschluss,0.4
225,42,Gefahrenstelle,0.3478260869565218
225,42,Hindernis,0.5806451612903225
225,42,Markierung oder Schild,0.6046511627906976
225,42,Ampel,0.5517241379310344
225,42,Lückenschluss,0.6666666666666667
225,123,Gefahrenstelle,0.42424242424242425
225,123,Hindernis,0.28571428571428575
225,123,Markierung oder Schild,0.6153846153846153
225,123,Ampel,0.5454545454545454
225,123,Lückenschluss,0.7567567567567568
225,456,Gefahrenstelle,0.4
225,456,Hindernis,0.31578947368421056
225,456,Markierung oder Schild,0.5116279069767441
225,456,Ampel,0.3333333333333333
225,456,Lückenschluss,0.1111111111111111
828,42,Gefahrenstelle,0.4137931034482759
828,42,Hindernis,0.6666666666666665
828,42,Markierung oder Schild,0.8125
828,42,Ampel,0.967741935483871
828,42,Lückenschluss,0.7741935483870969
828,123,Gefahrenstelle,0.45161290322580644
828,123,Hindernis,0.6666666666666665
828,123,Markierung oder Schild,0.8000000000000002
828,123,Ampel,0.967741935483871
828,123,Lückenschluss,0.7096774193548386
828,456,Gefahrenstelle,0.37500000000000006
828,456,Hindernis,0.5384615384615385
828,456,Markierung oder Schild,0.7500000000000001
828,456,Ampel,0.8148148148148148
828,456,Lückenschluss,0.7272727272727272
