n_labeled,label,f1_mean,f1_std
50,Ampel,0.08727272727272727,0.09112701153557574
50,Gefahrenstelle,0.15308641975308643,0.15561433339840727
50,Hindernis,0.2276972624798712,0.03080191620347218
50,Lückenschluss,0.2549045026359001,0.2092251656878628
50,Markierung oder Schild,0.4019103626481333,0.02486509000982029
100,Ampel,0.2286186931348222,0.11683712118708361
100,Gefahrenstelle,0.10256410256410255,0.177646236673731
100,Hindernis,0.4518518518518519,0.13440923934536336
100,Lückenschluss,0.4432019115890084,0.20258350305463485
100,Markierung oder Schild,0.37226107226107225,0.056102630735797104
150,Ampel,0.17709904474610358,0.10729878577870856
150,Gefahrenstelle,0.2686868686868687,0.06675843087619522
150,Hindernis,0.3896825396825397,0.1408657498685064
150,Lückenschluss,0.42257495590828925,0.13894842093583287
150,Markierung oder Schild,0.4023115313895456,0.10718969536727808
225,Ampel,0.47683733890630436,0.1243176441985239
225,Gefahrenstelle,0.39068950373298206,0.03904968830351683
225,Hindernis,0.39404964022960626,0.16229462589006677
225,Lückenschluss,0.5115115115115115,0.34967043993410546
225,Markierung oder Schild,0.577221228384019,0.05705843155113029
828,Ampel,0.9167662285941857,0.08829251428467398
828,Gefahrenstelle,0.41346866889136075,0.03830748201732899
828,Hindernis,0.6239316239316238,0.0740192652807211
828,Lückenschluss,0.7370478983382208,0.033350385355292334
828,Markierung oder Schild,0.7875000000000001,0.03307189138830737
