n_labeled,seed,accuracy,f1_macro
50,42,0.30666666666666664,0.2907103648081996
50,123,0.24,0.22744047024106995
50,456,0.24,0.1567719298245614
100,42,0.3333333333333333,0.2956989247311828
100,123,0.3333333333333333,0.33006632077599823
100,456,0.36,0.33333333333333337
150,42,0.41333333333333333,0.38051593796274646
150,123,0.36,0.3418875024757378
150,456,0.30666666666666664,0.27380952380952384
225,42,0.56,0.5503026431270486
225,123,0.5466666666666666,0.5255105255105255
225,456,0.37333333333333335,0.3343723650210798
828,42,0.7333333333333333,0.7269790507971822
828,123,0.72,0.7191397849462365
828,456,0.64,0.6411098161098161
